,,,,
Produit,Marque,Code-barres,Lot,DDM
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202313037,18/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202343246,21/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202373313,24/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202373316,24/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202383441,25/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202393526,26/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202443762,31/08/21
Pain Surprise 32Tranches POLAIRE ,Picard,89166,202453879,01/09/21
Biscuits epeautre et sesame 150g de marque Auchan BIO,Auchan,3596710308996,,05/03/21
Biscuits epeautre et sesame 150g de marque Auchan BIO,Auchan,3596710308996,,10/03/21
Biscuits epeautre et sesame 150g de marque Auchan BIO,Auchan,3596710308996,,01/04/21
Biscuits epeautre et sesame 150g de marque Auchan BIO,Auchan,3596710308996,,02/04/21
SESAME DECORTIQUE 250G ,PRIMEAL/EKIBIO,3380390229500,616591   617203,05/10/21   14/11/21
QUINORI 500G,PRIMEAL/EKIBIO,3380380021671,617280,14/12/21
QUINORI VRAC 5KG,PRIMEAL/EKIBIO,110000618051,618051,25/10/21
MIX’SAVEURS CHIA ET FLEURS PARFUME AU CITRON 100g,PRIMEAL/EKIBIO,3380380072482,618016,24/08/21
Biscuits epeautre et sesame 150g de marque Casino BIO,CASINO,3222473045792,L2020156,04/03/21
Petits paves precuits cereales x 4 de marque AUCHAN,Auchan,3596710484744,263 SV16,08/11/20
Petits paves precuits cereales x 4 de marque AUCHAN,Auchan,3596710484744,  271 SV16,16/11/20
Petits paves precuits cereales x 4 de marque AUCHAN,Auchan,3596710484744,  278 SV16, 23/11/20
Petits paves precuits cereales x 4 de marque AUCHAN,Auchan,3596710484744,285 SV16,30/11/20
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3385104,25/07/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3385837,25/07/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3418156,03/09/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3424468,03/09/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3425375,03/09/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3429907,25/07/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3432193,03/09/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3436102,21/10/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3459137,21/10/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3465739,21/10/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3472433,21/10/21
Petits pains de campagne aux cereales 200g,THIRIET,3292590894351,3480027,21/10/21
Ficeline muesli 70g,THIRIET,3292590894399,3325890,07/04/21
Ficeline muesli 70g,THIRIET,3292590894399,3334918,21/11/20
Ficeline muesli 70g,THIRIET,3292590894399,3385115,07/04/21
Ficeline muesli 70g,THIRIET,3292590894399,3459142,27/08/21
Ficeline muesli 70g,THIRIET,3292590894399,3465743,27/08/21
Ficeline muesli 70g,THIRIET,3292590894399,3524268,27/08/21
Houmous a la libanaise,ATELIER BLINI,,203371,08/11/20
Houmous a la libanaise,ATELIER BLINI,,203391,10/11/20
Houmous a la libanaise,ATELIER BLINI,,14203451,16/11/20
Houmous a la libanaise,ATELIER BLINI,,14203463,16/11/20
Houmous a la libanaise,ATELIER BLINI,,14203461,17/11/20
